iter	Passed	Remaining
0	228	228726
1	326	162713
2	402	133813
3	529	131915
4	576	114725
5	608	100767
6	639	90675
7	724	89788
8	845	93102
9	893	88500
10	1002	90101
11	1036	85334
12	1102	83697
13	1175	82768
14	1285	84438
15	1402	86264
16	1486	85952
17	1542	84146
18	1649	85183
19	1740	85287
20	1861	86786
21	1953	86831
22	2038	86584
23	2136	86892
24	2237	87245
25	2330	87302
26	2438	87889
27	2540	88208
28	2629	88047
29	2735	88453
30	2840	88780
31	2916	88220
32	3003	87999
33	3090	87811
34	3167	87322
35	3287	88018
36	3402	88549
37	3518	89071
38	3628	89403
39	3755	90137
40	3908	91429
41	4046	92309
42	4142	92204
43	4234	92009
44	4345	92219
45	4459	92482
46	4569	92662
47	4676	92748
48	4785	92869
49	4930	93686
50	5034	93683
51	5120	93356
52	5208	93066
53	5338	93514
54	5443	93523
55	5565	93815
56	5656	93575
57	5741	93242
58	5833	93041
59	5968	93513
60	6070	93440
61	6238	94385
62	6367	94705
63	6508	95190
64	6618	95197
65	6770	95815
66	6903	96127
67	7085	97114
68	7262	97996
69	7451	99002
70	7601	99465
71	7758	99992
72	7933	100746
73	8130	101737
74	8316	102568
75	8473	103023
76	8613	103246
77	8769	103659
78	8946	104303
79	9099	104647
80	9218	104592
81	9376	104971
82	9520	105186
83	9665	105396
84	9808	105587
85	9937	105616
86	10062	105596
87	10189	105600
88	10332	105764
89	10477	105937
90	10630	106185
91	10818	106774
92	11011	107386
93	11218	108131
94	11410	108699
95	11592	109166
96	11768	109557
97	11925	109763
98	12091	110047
99	12262	110364
100	12446	110789
101	12655	111414
102	12836	111792
103	13003	112031
104	13202	112533
105	13414	113140
106	13606	113558
107	13770	113736
108	13933	113892
109	14116	114211
110	14305	114573
111	14489	114884
112	14667	115133
113	14848	115404
114	15037	115723
115	15176	115655
116	15266	115218
117	15358	114800
118	15455	114420
119	15549	114030
120	15659	113760
121	15773	113517
122	15862	113102
123	15960	112749
124	16053	112376
125	16148	112013
126	16240	111639
127	16342	111330
128	16469	111201
129	16571	110903
130	16722	110929
131	16816	110581
132	16940	110434
133	17041	110132
134	17180	110080
135	17256	109630
136	17339	109224
137	17444	108963
138	17564	108795
139	17686	108645
140	17766	108237
141	17892	108111
142	17994	107843
143	18072	107432
144	18174	107166
145	18287	106967
146	18432	106957
147	18566	106880
148	18719	106915
149	18854	106841
150	18979	106712
151	19082	106461
152	19216	106381
153	19329	106187
154	19450	106036
155	19611	106105
156	19742	106004
157	19870	105891
158	20042	106011
159	20136	105716
160	20231	105428
161	20337	105200
162	20446	104993
163	20541	104713
164	20646	104484
165	20767	104337
166	20886	104183
167	21011	104057
168	21148	103988
169	21252	103761
170	21356	103534
171	21471	103363
172	21633	103415
173	21735	103181
174	21835	102937
175	21950	102767
176	22052	102539
177	22134	102216
178	22235	101984
179	22337	101759
180	22419	101445
181	22527	101249
182	22640	101077
183	22738	100842
184	22829	100572
185	22952	100449
186	23076	100327
187	23191	100166
188	23314	100041
189	23421	99849
190	23465	99392
191	23593	99288
192	23717	99169
193	23829	99004
194	23948	98864
195	24043	98628
196	24145	98419
197	24240	98186
198	24353	98027
199	24452	97811
200	24557	97618
201	24675	97479
202	24775	97269
203	24897	97148
204	24996	96938
205	25097	96734
206	25196	96527
207	25290	96299
208	25394	96109
209	25536	96066
210	25667	95979
211	25794	95876
212	25892	95666
213	25997	95485
214	26086	95246
215	26200	95097
216	26314	94951
217	26440	94847
218	26526	94597
219	26641	94454
220	26729	94218
221	26812	93965
222	26916	93784
223	27011	93574
224	27097	93336
225	27204	93167
226	27287	92921
227	27384	92722
228	27485	92539
229	27523	92145
230	27635	91998
231	27789	91993
232	27922	91916
233	28030	91756
234	28142	91613
235	28228	91382
236	28322	91182
237	28425	91008
238	28535	90860
239	28622	90637
240	28713	90429
241	28801	90213
242	28916	90080
243	29038	89970
244	29135	89783
245	29228	89587
246	29331	89419
247	29432	89247
248	29537	89087
249	29625	88877
250	29722	88694
251	29856	88620
252	29972	88494
253	30072	88322
254	30182	88181
255	30235	87871
256	30369	87800
257	30481	87664
258	30570	87461
259	30665	87277
260	30761	87099
261	30872	86961
262	31019	86925
263	31113	86739
264	31207	86557
265	31336	86469
266	31432	86291
267	31506	86055
268	31647	86000
269	31733	85797
270	31824	85610
271	31907	85398
272	32038	85317
273	32152	85191
274	32253	85032
275	32352	84865
276	32432	84653
277	32527	84477
278	32624	84307
279	32709	84111
280	32801	83930
281	32872	83695
282	32971	83534
283	33095	83437
284	33223	83349
285	33350	83258
286	33473	83158
287	33579	83015
288	33682	82866
289	33822	82807
290	33943	82700
291	34065	82596
292	34192	82504
293	34340	82464
294	34482	82408
295	34618	82336
296	34766	82293
297	34937	82302
298	35081	82247
299	35244	82237
300	35428	82273
301	35588	82254
302	35692	82105
303	35794	81950
304	35906	81820
305	36027	81710
306	36136	81572
307	36229	81397
308	36321	81223
309	36414	81051
310	36510	80886
311	36614	80739
312	36710	80575
313	36809	80417
314	36916	80279
315	37035	80165
316	37132	80005
317	37231	79848
318	37331	79695
319	37443	79566
320	37532	79390
321	37641	79256
322	37763	79151
323	37876	79025
324	37967	78855
325	38064	78698
326	38163	78544
327	38196	78255
328	38306	78127
329	38413	77992
330	38521	77858
331	38622	77709
332	38719	77555
333	38808	77384
334	38901	77221
335	38996	77064
336	39112	76947
337	39226	76828
338	39344	76716
339	39446	76572
340	39539	76411
341	39637	76261
342	39728	76097
343	39859	76010
344	39959	75865
345	40062	75724
346	40153	75561
347	40247	75406
348	40348	75262
349	40459	75139
350	40503	74890
351	40635	74806
352	40768	74723
353	40894	74626
354	40976	74450
355	41075	74304
356	41206	74217
357	41332	74120
358	41447	74005
359	41563	73891
360	41718	73845
361	41808	73684
362	41936	73590
363	42083	73530
364	42229	73468
365	42334	73333
366	42367	73074
367	42463	72926
368	42568	72793
369	42702	72709
370	42832	72619
371	42948	72504
372	43045	72357
373	43189	72290
374	43280	72133
375	43399	72024
376	43492	71871
377	43527	71623
378	43570	71391
379	43703	71305
380	43868	71272
381	43980	71151
382	44095	71035
383	44244	70975
384	44408	70938
385	44457	70717
386	44544	70557
387	44648	70425
388	44775	70328
389	44836	70128
390	44959	70026
391	45046	69867
392	45167	69762
393	45297	69671
394	45404	69542
395	45546	69469
396	45644	69328
397	45733	69175
398	45857	69073
399	45966	68950
400	46081	68834
401	46186	68704
402	46305	68595
403	46456	68534
404	46604	68468
405	46720	68354
406	46775	68151
407	46871	68010
408	46978	67883
409	47073	67739
410	47185	67620
411	47301	67507
412	47442	67430
413	47509	67247
414	47639	67155
415	47734	67012
416	47790	66815
417	47943	66754
418	48089	66683
419	48208	66573
420	48328	66465
421	48469	66386
422	48577	66262
423	48650	66091
424	48746	65951
425	48825	65788
426	48937	65669
427	49057	65563
428	49146	65413
429	49302	65354
430	49439	65269
431	49582	65192
432	49758	65156
433	49861	65026
434	49951	64879
435	50067	64766
436	50231	64714
437	50361	64618
438	50486	64517
439	50647	64460
440	50750	64330
441	50911	64273
442	51042	64177
443	51144	64046
444	51259	63929
445	51339	63771
446	51419	63613
447	51510	63467
448	51628	63357
449	51721	63215
450	51876	63149
451	51980	63020
452	52094	62903
453	52200	62778
454	52333	62685
455	52430	62548
456	52534	62421
457	52651	62308
458	52794	62226
459	52882	62079
460	52979	61943
461	53098	61833
